customer_index,age,shap_top3,lime_top3,jaccard_top3,shap_top5,lime_top5,jaccard_top5,shap_top10,lime_top10,jaccard_top10,age_group
10,29,"PAY_4, PAY_AMT3, PAY_0","BILL_AMT6, BILL_AMT1, PAY_4",0.2,"PAY_4, PAY_AMT3, PAY_0, BILL_AMT1, PAY_AMT1","BILL_AMT6, BILL_AMT1, PAY_4, PAY_0, LIMIT_BAL",0.42857142857142855,"PAY_4, PAY_AMT3, PAY_0, BILL_AMT1, PAY_AMT1, PAY_AMT2, PAY_3, BILL_AMT6, PAY_AMT4, PAY_AMT5","BILL_AMT6, BILL_AMT1, PAY_4, PAY_0, LIMIT_BAL, BILL_AMT5, PAY_AMT2, MARRIAGE, BILL_AMT4, PAY_AMT6",0.3333333333333333,Under 30
11,30,"PAY_0, PAY_AMT3, PAY_AMT1","BILL_AMT6, BILL_AMT1, PAY_0",0.2,"PAY_0, PAY_AMT3, PAY_AMT1, PAY_AMT2, BILL_AMT1","BILL_AMT6, BILL_AMT1, PAY_0, PAY_AMT1, LIMIT_BAL",0.42857142857142855,"PAY_0, PAY_AMT3, PAY_AMT1, PAY_AMT2, BILL_AMT1, PAY_AMT6, BILL_AMT2, PAY_2, PAY_AMT4, BILL_AMT4","BILL_AMT6, BILL_AMT1, PAY_0, PAY_AMT1, LIMIT_BAL, PAY_AMT2, BILL_AMT4, PAY_AMT6, BILL_AMT5, MARRIAGE",0.42857142857142855,Under 30
12,30,"BILL_AMT1, BILL_AMT5, LIMIT_BAL","PAY_0, LIMIT_BAL, BILL_AMT6",0.2,"BILL_AMT1, BILL_AMT5, LIMIT_BAL, PAY_AMT3, AGE","PAY_0, LIMIT_BAL, BILL_AMT6, BILL_AMT1, PAY_AMT1",0.25,"BILL_AMT1, BILL_AMT5, LIMIT_BAL, PAY_AMT3, AGE, PAY_0, BILL_AMT4, BILL_AMT6, PAY_AMT1, PAY_2","PAY_0, LIMIT_BAL, BILL_AMT6, BILL_AMT1, PAY_AMT1, BILL_AMT3, PAY_AMT2, BILL_AMT4, BILL_AMT5, MARRIAGE",0.5384615384615384,Under 30
13,26,"PAY_0, PAY_AMT2, AGE","PAY_AMT2, PAY_AMT1, PAY_0",0.5,"PAY_0, PAY_AMT2, AGE, BILL_AMT1, LIMIT_BAL","PAY_AMT2, PAY_AMT1, PAY_0, LIMIT_BAL, BILL_AMT4",0.42857142857142855,"PAY_0, PAY_AMT2, AGE, BILL_AMT1, LIMIT_BAL, PAY_AMT3, BILL_AMT6, PAY_AMT6, MARRIAGE, PAY_AMT1","PAY_AMT2, PAY_AMT1, PAY_0, LIMIT_BAL, BILL_AMT4, AGE, MARRIAGE, PAY_AMT6, SEX, PAY_6",0.5384615384615384,Under 30
14,29,"PAY_0, LIMIT_BAL, BILL_AMT1","LIMIT_BAL, BILL_AMT1, PAY_0",1.0,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_AMT5, PAY_2","LIMIT_BAL, BILL_AMT1, PAY_0, BILL_AMT6, MARRIAGE",0.42857142857142855,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_AMT5, PAY_2, SEX, PAY_AMT4, MARRIAGE, BILL_AMT2, EDUCATION","LIMIT_BAL, BILL_AMT1, PAY_0, BILL_AMT6, MARRIAGE, PAY_3, SEX, AGE, PAY_4, BILL_AMT2",0.42857142857142855,Under 30
15,23,"PAY_0, PAY_4, LIMIT_BAL","LIMIT_BAL, PAY_4, PAY_0",1.0,"PAY_0, PAY_4, LIMIT_BAL, BILL_AMT1, PAY_AMT3","LIMIT_BAL, PAY_4, PAY_0, BILL_AMT6, AGE",0.42857142857142855,"PAY_0, PAY_4, LIMIT_BAL, BILL_AMT1, PAY_AMT3, AGE, BILL_AMT2, EDUCATION, MARRIAGE, PAY_3","LIMIT_BAL, PAY_4, PAY_0, BILL_AMT6, AGE, MARRIAGE, PAY_3, PAY_2, SEX, BILL_AMT5",0.42857142857142855,Under 30
16,22,"PAY_0, LIMIT_BAL, BILL_AMT1","LIMIT_BAL, BILL_AMT6, PAY_0",0.5,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_AMT2, BILL_AMT6","LIMIT_BAL, BILL_AMT6, PAY_0, PAY_AMT2, AGE",0.6666666666666666,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_AMT2, BILL_AMT6, BILL_AMT5, PAY_AMT4, SEX, MARRIAGE, PAY_AMT5","LIMIT_BAL, BILL_AMT6, PAY_0, PAY_AMT2, AGE, PAY_3, PAY_AMT6, MARRIAGE, PAY_AMT5, PAY_4",0.42857142857142855,Under 30
17,23,"PAY_0, BILL_AMT1, LIMIT_BAL","BILL_AMT6, BILL_AMT1, PAY_0",0.5,"PAY_0, BILL_AMT1, LIMIT_BAL, PAY_AMT2, AGE","BILL_AMT6, BILL_AMT1, PAY_0, BILL_AMT5, BILL_AMT2",0.25,"PAY_0, BILL_AMT1, LIMIT_BAL, PAY_AMT2, AGE, PAY_AMT3, BILL_AMT2, BILL_AMT6, PAY_AMT4, PAY_2","BILL_AMT6, BILL_AMT1, PAY_0, BILL_AMT5, BILL_AMT2, AGE, MARRIAGE, PAY_4, PAY_3, SEX",0.3333333333333333,Under 30
18,28,"PAY_6, PAY_0, PAY_AMT1","PAY_AMT2, PAY_AMT1, PAY_0",0.5,"PAY_6, PAY_0, PAY_AMT1, PAY_AMT3, PAY_AMT5","PAY_AMT2, PAY_AMT1, PAY_0, LIMIT_BAL, PAY_6",0.42857142857142855,"PAY_6, PAY_0, PAY_AMT1, PAY_AMT3, PAY_AMT5, BILL_AMT1, MARRIAGE, PAY_AMT6, LIMIT_BAL, PAY_AMT2","PAY_AMT2, PAY_AMT1, PAY_0, LIMIT_BAL, PAY_6, MARRIAGE, PAY_AMT4, PAY_AMT6, AGE, PAY_3",0.5384615384615384,Under 30
19,29,"PAY_0, BILL_AMT3, PAY_AMT3","PAY_AMT2, BILL_AMT1, PAY_0",0.2,"PAY_0, BILL_AMT3, PAY_AMT3, PAY_AMT1, PAY_AMT2","PAY_AMT2, BILL_AMT1, PAY_0, PAY_AMT1, BILL_AMT6",0.42857142857142855,"PAY_0, BILL_AMT3, PAY_AMT3, PAY_AMT1, PAY_AMT2, BILL_AMT2, PAY_AMT5, BILL_AMT1, LIMIT_BAL, BILL_AMT5","PAY_AMT2, BILL_AMT1, PAY_0, PAY_AMT1, BILL_AMT6, LIMIT_BAL, MARRIAGE, BILL_AMT4, BILL_AMT5, PAY_3",0.42857142857142855,Under 30
20,28,"PAY_0, LIMIT_BAL, PAY_AMT2","LIMIT_BAL, BILL_AMT1, PAY_0",0.5,"PAY_0, LIMIT_BAL, PAY_AMT2, PAY_AMT5, PAY_AMT1","LIMIT_BAL, BILL_AMT1, PAY_0, BILL_AMT6, BILL_AMT2",0.25,"PAY_0, LIMIT_BAL, PAY_AMT2, PAY_AMT5, PAY_AMT1, BILL_AMT5, BILL_AMT3, BILL_AMT4, PAY_AMT4, PAY_AMT6","LIMIT_BAL, BILL_AMT1, PAY_0, BILL_AMT6, BILL_AMT2, PAY_AMT6, BILL_AMT5, PAY_3, MARRIAGE, AGE",0.25,Under 30
21,23,"PAY_0, LIMIT_BAL, BILL_AMT1","PAY_0, AGE, MARRIAGE",0.2,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_2, BILL_AMT3","PAY_0, AGE, MARRIAGE, BILL_AMT6, LIMIT_BAL",0.25,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_2, BILL_AMT3, BILL_AMT2, EDUCATION, MARRIAGE, PAY_AMT4, PAY_3","PAY_0, AGE, MARRIAGE, BILL_AMT6, LIMIT_BAL, PAY_3, PAY_AMT2, PAY_2, PAY_AMT4, PAY_4",0.42857142857142855,Under 30
22,23,"PAY_0, LIMIT_BAL, BILL_AMT1","BILL_AMT6, LIMIT_BAL, PAY_AMT2",0.2,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_AMT2, BILL_AMT3","BILL_AMT6, LIMIT_BAL, PAY_AMT2, PAY_0, PAY_AMT1",0.42857142857142855,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_AMT2, BILL_AMT3, BILL_AMT6, PAY_AMT3, PAY_3, PAY_2, PAY_AMT1","BILL_AMT6, LIMIT_BAL, PAY_AMT2, PAY_0, PAY_AMT1, BILL_AMT5, AGE, PAY_AMT6, BILL_AMT3, BILL_AMT4",0.42857142857142855,Under 30
23,28,"BILL_AMT1, PAY_0, PAY_AMT2","BILL_AMT6, BILL_AMT1, PAY_0",0.5,"BILL_AMT1, PAY_0, PAY_AMT2, PAY_AMT1, BILL_AMT6","BILL_AMT6, BILL_AMT1, PAY_0, PAY_AMT1, BILL_AMT4",0.6666666666666666,"BILL_AMT1, PAY_0, PAY_AMT2, PAY_AMT1, BILL_AMT6, PAY_3, PAY_AMT6, BILL_AMT3, LIMIT_BAL, MARRIAGE","BILL_AMT6, BILL_AMT1, PAY_0, PAY_AMT1, BILL_AMT4, PAY_AMT2, LIMIT_BAL, BILL_AMT5, MARRIAGE, BILL_AMT3",0.6666666666666666,Under 30
24,26,"PAY_0, PAY_AMT1, AGE","PAY_AMT1, PAY_0, AGE",1.0,"PAY_0, PAY_AMT1, AGE, BILL_AMT1, PAY_AMT2","PAY_AMT1, PAY_0, AGE, BILL_AMT6, MARRIAGE",0.42857142857142855,"PAY_0, PAY_AMT1, AGE, BILL_AMT1, PAY_AMT2, BILL_AMT5, LIMIT_BAL, PAY_AMT5, PAY_AMT6, BILL_AMT2","PAY_AMT1, PAY_0, AGE, BILL_AMT6, MARRIAGE, PAY_AMT6, LIMIT_BAL, PAY_3, BILL_AMT5, BILL_AMT3",0.42857142857142855,Under 30
25,28,"PAY_0, LIMIT_BAL, BILL_AMT1","LIMIT_BAL, PAY_AMT2, BILL_AMT6",0.2,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_AMT5, BILL_AMT5","LIMIT_BAL, PAY_AMT2, BILL_AMT6, PAY_0, BILL_AMT5",0.42857142857142855,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_AMT5, BILL_AMT5, PAY_AMT3, PAY_AMT2, PAY_AMT4, PAY_2, PAY_AMT1","LIMIT_BAL, PAY_AMT2, BILL_AMT6, PAY_0, BILL_AMT5, AGE, MARRIAGE, PAY_AMT1, PAY_AMT5, PAY_2",0.5384615384615384,Under 30
26,30,"LIMIT_BAL, BILL_AMT1, PAY_0","LIMIT_BAL, PAY_AMT2, BILL_AMT1",0.5,"LIMIT_BAL, BILL_AMT1, PAY_0, PAY_AMT1, BILL_AMT3","LIMIT_BAL, PAY_AMT2, BILL_AMT1, PAY_AMT1, PAY_0",0.6666666666666666,"LIMIT_BAL, BILL_AMT1, PAY_0, PAY_AMT1, BILL_AMT3, PAY_AMT2, BILL_AMT6, PAY_AMT3, BILL_AMT5, PAY_3","LIMIT_BAL, PAY_AMT2, BILL_AMT1, PAY_AMT1, PAY_0, BILL_AMT6, MARRIAGE, BILL_AMT4, BILL_AMT5, PAY_6",0.5384615384615384,Under 30
27,29,"PAY_AMT2, PAY_0, BILL_AMT1","PAY_AMT2, BILL_AMT6, PAY_AMT1",0.2,"PAY_AMT2, PAY_0, BILL_AMT1, PAY_AMT3, PAY_AMT5","PAY_AMT2, BILL_AMT6, PAY_AMT1, PAY_0, LIMIT_BAL",0.25,"PAY_AMT2, PAY_0, BILL_AMT1, PAY_AMT3, PAY_AMT5, LIMIT_BAL, BILL_AMT5, BILL_AMT6, PAY_AMT4, BILL_AMT3","PAY_AMT2, BILL_AMT6, PAY_AMT1, PAY_0, LIMIT_BAL, MARRIAGE, BILL_AMT1, PAY_6, BILL_AMT5, BILL_AMT3",0.5384615384615384,Under 30
28,23,"PAY_0, LIMIT_BAL, BILL_AMT1","PAY_0, LIMIT_BAL, BILL_AMT6",0.5,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_AMT1, PAY_AMT5","PAY_0, LIMIT_BAL, BILL_AMT6, PAY_AMT2, AGE",0.25,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_AMT1, PAY_AMT5, PAY_AMT4, PAY_AMT6, EDUCATION, PAY_2, PAY_6","PAY_0, LIMIT_BAL, BILL_AMT6, PAY_AMT2, AGE, PAY_AMT1, MARRIAGE, SEX, BILL_AMT2, PAY_3",0.17647058823529413,Under 30
29,23,"PAY_6, PAY_2, PAY_0","PAY_0, LIMIT_BAL, PAY_2",0.5,"PAY_6, PAY_2, PAY_0, LIMIT_BAL, PAY_AMT1","PAY_0, LIMIT_BAL, PAY_2, PAY_AMT1, BILL_AMT6",0.6666666666666666,"PAY_6, PAY_2, PAY_0, LIMIT_BAL, PAY_AMT1, PAY_AMT6, PAY_AMT5, BILL_AMT6, PAY_AMT4, PAY_3","PAY_0, LIMIT_BAL, PAY_2, PAY_AMT1, BILL_AMT6, PAY_AMT2, PAY_3, PAY_6, MARRIAGE, PAY_4",0.5384615384615384,Under 30
30,25,"PAY_0, LIMIT_BAL, PAY_2","PAY_0, BILL_AMT6, LIMIT_BAL",0.5,"PAY_0, LIMIT_BAL, PAY_2, PAY_AMT6, PAY_AMT3","PAY_0, BILL_AMT6, LIMIT_BAL, PAY_AMT2, PAY_AMT1",0.25,"PAY_0, LIMIT_BAL, PAY_2, PAY_AMT6, PAY_AMT3, BILL_AMT3, PAY_AMT1, MARRIAGE, PAY_3, EDUCATION","PAY_0, BILL_AMT6, LIMIT_BAL, PAY_AMT2, PAY_AMT1, AGE, PAY_3, MARRIAGE, PAY_AMT4, PAY_AMT6",0.42857142857142855,Under 30
31,30,"PAY_AMT2, PAY_0, LIMIT_BAL","PAY_AMT2, BILL_AMT1, PAY_0",0.5,"PAY_AMT2, PAY_0, LIMIT_BAL, BILL_AMT1, BILL_AMT6","PAY_AMT2, BILL_AMT1, PAY_0, BILL_AMT6, LIMIT_BAL",1.0,"PAY_AMT2, PAY_0, LIMIT_BAL, BILL_AMT1, BILL_AMT6, BILL_AMT5, BILL_AMT4, PAY_AMT5, BILL_AMT3, PAY_2","PAY_AMT2, BILL_AMT1, PAY_0, BILL_AMT6, LIMIT_BAL, BILL_AMT4, MARRIAGE, BILL_AMT5, BILL_AMT3, SEX",0.6666666666666666,Under 30
32,30,"PAY_0, PAY_6, BILL_AMT1","BILL_AMT6, PAY_AMT1, PAY_AMT2",0.0,"PAY_0, PAY_6, BILL_AMT1, BILL_AMT2, BILL_AMT6","BILL_AMT6, PAY_AMT1, PAY_AMT2, PAY_0, PAY_6",0.42857142857142855,"PAY_0, PAY_6, BILL_AMT1, BILL_AMT2, BILL_AMT6, BILL_AMT3, PAY_AMT1, LIMIT_BAL, PAY_AMT2, PAY_AMT3","BILL_AMT6, PAY_AMT1, PAY_AMT2, PAY_0, PAY_6, BILL_AMT5, LIMIT_BAL, MARRIAGE, BILL_AMT3, PAY_2",0.5384615384615384,Under 30
33,27,"PAY_AMT3, PAY_0, PAY_2","PAY_0, BILL_AMT6, BILL_AMT1",0.2,"PAY_AMT3, PAY_0, PAY_2, BILL_AMT1, PAY_AMT1","PAY_0, BILL_AMT6, BILL_AMT1, PAY_AMT1, PAY_AMT2",0.42857142857142855,"PAY_AMT3, PAY_0, PAY_2, BILL_AMT1, PAY_AMT1, BILL_AMT4, BILL_AMT2, PAY_3, PAY_AMT4, BILL_AMT3","PAY_0, BILL_AMT6, BILL_AMT1, PAY_AMT1, PAY_AMT2, BILL_AMT4, LIMIT_BAL, AGE, BILL_AMT5, MARRIAGE",0.25,Under 30
34,23,"PAY_0, LIMIT_BAL, BILL_AMT1","LIMIT_BAL, PAY_0, AGE",0.5,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_AMT6, EDUCATION","LIMIT_BAL, PAY_0, AGE, PAY_3, MARRIAGE",0.25,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_AMT6, EDUCATION, PAY_2, PAY_AMT2, MARRIAGE, PAY_3, BILL_AMT3","LIMIT_BAL, PAY_0, AGE, PAY_3, MARRIAGE, BILL_AMT6, PAY_AMT6, SEX, PAY_AMT1, PAY_2",0.42857142857142855,Under 30
35,24,"PAY_0, LIMIT_BAL, BILL_AMT1","PAY_0, LIMIT_BAL, MARRIAGE",0.5,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_AMT6, AGE","PAY_0, LIMIT_BAL, MARRIAGE, AGE, PAY_3",0.42857142857142855,"PAY_0, LIMIT_BAL, BILL_AMT1, PAY_AMT6, AGE, PAY_2, MARRIAGE, PAY_AMT5, BILL_AMT3, PAY_6","PAY_0, LIMIT_BAL, MARRIAGE, AGE, PAY_3, PAY_2, BILL_AMT6, PAY_AMT1, PAY_AMT5, PAY_5",0.42857142857142855,Under 30
36,26,"PAY_0, PAY_3, PAY_AMT2","PAY_3, PAY_0, LIMIT_BAL",0.5,"PAY_0, PAY_3, PAY_AMT2, BILL_AMT1, PAY_AMT4","PAY_3, PAY_0, LIMIT_BAL, PAY_AMT2, BILL_AMT6",0.42857142857142855,"PAY_0, PAY_3, PAY_AMT2, BILL_AMT1, PAY_AMT4, LIMIT_BAL, BILL_AMT6, PAY_2, PAY_AMT3, AGE","PAY_3, PAY_0, LIMIT_BAL, PAY_AMT2, BILL_AMT6, AGE, MARRIAGE, PAY_2, PAY_AMT6, PAY_4",0.5384615384615384,Under 30
37,24,"PAY_0, LIMIT_BAL, PAY_AMT2","PAY_0, LIMIT_BAL, PAY_AMT2",1.0,"PAY_0, LIMIT_BAL, PAY_AMT2, BILL_AMT1, PAY_AMT3","PAY_0, LIMIT_BAL, PAY_AMT2, AGE, PAY_3",0.42857142857142855,"PAY_0, LIMIT_BAL, PAY_AMT2, BILL_AMT1, PAY_AMT3, PAY_AMT4, PAY_AMT5, PAY_AMT6, PAY_6, PAY_2","PAY_0, LIMIT_BAL, PAY_AMT2, AGE, PAY_3, MARRIAGE, SEX, BILL_AMT6, PAY_AMT4, PAY_AMT1",0.25,Under 30
38,26,"PAY_0, LIMIT_BAL, PAY_4","PAY_0, PAY_4, PAY_3",0.5,"PAY_0, LIMIT_BAL, PAY_4, PAY_3, PAY_5","PAY_0, PAY_4, PAY_3, BILL_AMT6, PAY_AMT1",0.42857142857142855,"PAY_0, LIMIT_BAL, PAY_4, PAY_3, PAY_5, PAY_2, AGE, PAY_AMT2, BILL_AMT1, PAY_AMT4","PAY_0, PAY_4, PAY_3, BILL_AMT6, PAY_AMT1, PAY_2, AGE, MARRIAGE, LIMIT_BAL, BILL_AMT4",0.42857142857142855,Under 30
39,29,"PAY_0, LIMIT_BAL, PAY_AMT1","LIMIT_BAL, BILL_AMT1, PAY_AMT2",0.2,"PAY_0, LIMIT_BAL, PAY_AMT1, PAY_AMT2, BILL_AMT1","LIMIT_BAL, BILL_AMT1, PAY_AMT2, PAY_AMT1, PAY_0",1.0,"PAY_0, LIMIT_BAL, PAY_AMT1, PAY_AMT2, BILL_AMT1, PAY_AMT6, BILL_AMT5, BILL_AMT3, PAY_AMT5, PAY_AMT3","LIMIT_BAL, BILL_AMT1, PAY_AMT2, PAY_AMT1, PAY_0, BILL_AMT6, PAY_AMT6, BILL_AMT2, MARRIAGE, BILL_AMT5",0.5384615384615384,Under 30
40,22,"PAY_0, PAY_AMT3, PAY_AMT1","LIMIT_BAL, BILL_AMT6, BILL_AMT1",0.0,"PAY_0, PAY_AMT3, PAY_AMT1, LIMIT_BAL, PAY_AMT2","LIMIT_BAL, BILL_AMT6, BILL_AMT1, PAY_AMT1, PAY_0",0.42857142857142855,"PAY_0, PAY_AMT3, PAY_AMT1, LIMIT_BAL, PAY_AMT2, BILL_AMT2, BILL_AMT6, PAY_3, AGE, PAY_AMT6","LIMIT_BAL, BILL_AMT6, BILL_AMT1, PAY_AMT1, PAY_0, PAY_AMT2, BILL_AMT5, PAY_AMT6, BILL_AMT3, MARRIAGE",0.42857142857142855,Under 30
41,25,"PAY_0, LIMIT_BAL, PAY_AMT4","PAY_0, BILL_AMT6, BILL_AMT1",0.2,"PAY_0, LIMIT_BAL, PAY_AMT4, PAY_AMT3, PAY_AMT2","PAY_0, BILL_AMT6, BILL_AMT1, PAY_AMT1, PAY_AMT2",0.25,"PAY_0, LIMIT_BAL, PAY_AMT4, PAY_AMT3, PAY_AMT2, PAY_AMT1, PAY_2, BILL_AMT1, AGE, PAY_3","PAY_0, BILL_AMT6, BILL_AMT1, PAY_AMT1, PAY_AMT2, BILL_AMT5, AGE, BILL_AMT3, LIMIT_BAL, MARRIAGE",0.42857142857142855,Under 30
42,24,"PAY_0, LIMIT_BAL, PAY_AMT2","LIMIT_BAL, PAY_0, PAY_AMT2",1.0,"PAY_0, LIMIT_BAL, PAY_AMT2, BILL_AMT1, PAY_AMT3","LIMIT_BAL, PAY_0, PAY_AMT2, BILL_AMT6, MARRIAGE",0.42857142857142855,"PAY_0, LIMIT_BAL, PAY_AMT2, BILL_AMT1, PAY_AMT3, PAY_2, PAY_3, BILL_AMT6, MARRIAGE, BILL_AMT5","LIMIT_BAL, PAY_0, PAY_AMT2, BILL_AMT6, MARRIAGE, AGE, PAY_3, PAY_AMT1, PAY_AMT6, PAY_2",0.5384615384615384,Under 30
